C1_A C1_B C2 C3_A C3_B C3_C C3_D C4 C5 C6 C7 C8 C9 C10_A C10_B C10_C C10_D C10_E C10_F C10_G C10_H C10_I C10_J C10_K C11_A C11_B C11_C C11_D C11_E C12_A C12_B C12_C C13_A C13_B C13_C C13_D C14 C15 C16_A C16_B C16_C C16_D C16_E C16_F C16_G C16_H C16_I C16_J C16_K C17_A C17_B C17_C C17_D C17_E C17_F C17_G C17_H C17_I C17_J C17_K C17_L C18_A C18_B C18_C C18_D C18_E C18_F C18_G C18_H C18_I C18_J C19_A C19_B C19_C C19_D C19_E C19_F C20 C21 C22_A C22_B C22_C C22_D C22_E C22_F C22_G C22_H C22_I C22_J C22_K C22_L C22_M C22_N
2 2 2 2 2 2 1 2 2 5 2 3 2 1 2 2 4 1 1 1 1 4 2 3 1 2 1 2 2 1 2 3 1 1 2 2 1 5 4 1 4 3 3 2 4 3 4 4 3 3 3 1 2 1 2 1 1 1 1 1 1 1 1 1 3 3 3 4 4 4 3 2 2 1 2 2 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 2 5 1 2 1 1 2 2 1 2 1 2 2 3 2 4 0 0 0 0 0 1 2 2 2 2 2 2 5 5 3 3 4 3 4 3 4 3 4 4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 4 4 4 1 4 4 4 2 2 2 2 2 2 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 3 1 1 2 2 1 5 5 4 3 4 4 3 3 4 2 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 3 3 2 3 3 3 4 4 4 3 2 2 2 2 2 2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 4 1 2 1 2 3 1 5 3 6 1 2 1 1 1 1 1 1 1 5 1 3 0 0 0 0 0 3 3 3 2 2 2 2 1 9 3 1 3 3 3 1 4 1 2 4 4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 2 4 2 3 4 1 2 2 1 2 2 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 4 4 4 4 1 1 1 1 1 4 4
2 2 1 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 1 1 2 1 4 1 4 4 3 3 4 2 1 1 1 1 1 4
2 2 1 0 0 0 0 1 1 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 3 3 3 2 2 1 2 3 5 4 3 4 4 4 3 4 2 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 4 4 1 4 4 4 4 4 4 4 2 2 2 2 2 2 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 4 1 1 1 2 1 1 1 2 1 1 1 1 1 3 0 0 0 0 0 1 3 3 2 1 1 2 4 10 4 4 4 4 4 3 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 2 2 2 2 2 2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 4 4 3 4 4 3 3 4 2 1 3
2 2 1 0 0 0 0 1 2 4 2 3 1 1 2 2 2 1 1 2 2 2 1 1 0 0 0 0 0 3 2 3 1 2 2 1 6 7 4 2 4 3 4 2 4 3 4 4 3 1 1 1 1 1 2 1 1 1 1 1 1 3 3 1 2 4 4 4 4 4 4 2 2 1 2 2 2 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 2 5 2 3 2 2 1 1 1 1 1 1 1 5 1 5 0 0 0 0 0 2 2 2 1 1 2 2 1 4 4 2 4 1 4 1 4 2 3 4 4 3 3 3 1 3 1 1 1 1 1 1 1 1 3 1 1 4 1 4 4 1 4 2 2 1 2 2 2 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 4 4 2 4 2 3 3 4 4 1 4 3
2 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 4 4 4 2 1 2 4 4 2 4 4
2 2 1 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 3 6 3 3 1 2 2 2 2 2 2 2 2 2 1 3
2 2 4 2 2 1 2 4 4 5 3 6 3 2 1 1 4 1 1 2 1 3 4 5 0 0 0 0 0 3 3 3 1 1 2 1 1 4 4 3 3 2 4 2 4 3 4 4 3 3 1 2 2 2 1 1 1 1 1 1 1 2 3 1 3 4 3 4 3 4 3 1 2 2 2 2 2 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 5 2 2 1 2 1 1 1 1 1 1 1 1 1 3 0 0 0 0 0 1 2 3 1 1 1 1 6 10 4 3 4 3 4 2 4 2 3 4 4 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 2 4 2 4 4 4 4 2 2 2 2 2 2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 1 1 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 1 1 2 1 1 4 4 4 4 4 1 1 1 1 1 4
2 2 2 2 1 2 1 1 1 4 2 3 2 1 2 2 3 1 1 1 2 1 1 1 1 2 1 2 2 2 2 2 2 2 2 2 1 5 4 4 4 3 4 3 4 2 4 4 4 2 1 1 1 1 1 1 1 1 1 1 1 2 3 1 2 2 4 4 4 4 4 2 2 2 2 2 2 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 2 5 1 3 1 2 1 1 1 1 1 2 1 1 1 4 0 0 0 0 0 1 3 1 2 2 2 1 5 5 4 3 4 4 4 3 4 3 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 3 4 4 4 4 4 4 2 2 2 2 2 2 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 2 2 2 2 6 2 4 4 4 4 4 3 4 1 4 4 4 2 1 1 1 2 1 1 1 1 1 1 1 3 3 1 3 4 2 2 4 4 4 1 2 2 2 2 2 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 1 6 4 4 4 4 4 4 4 1 1 1 2 1 4 4
2 2 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 1 4 2 2 4 4 3 4 4
2 2 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 4 4 4 3 4 1 1 4 4 1 4 4
1 2 1 0 0 0 0 1 1 5 2 1 1 2 1 1 2 1 1 2 1 3 1 3 0 0 0 0 0 1 3 1 2 1 1 2 3 3 4 3 4 2 4 2 4 1 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 4 4 4 4 4 1 2 1 2 2 2 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 1 1 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 2 2 2 2 6 10 4 4 4 2 4 2 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 4 1 4 4 4 4 4 2 2 2 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 2 0 0 0 0 1 1 5 1 2 2 1 1 1 1 1 1 1 1 3 1 4 0 0 0 0 0 2 2 2 2 1 2 1 4 4 4 3 4 3 4 2 4 3 4 4 4 2 1 1 1 2 1 1 1 1 1 1 1 2 4 1 2 4 4 4 3 4 4 2 2 2 2 2 2 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 1 6 3 4 3 3 2 4 2 4 2 3 4 4 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 2 2 2 2 2 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 5 2 2 2 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 2 1 1 2 2 2 1 4 4 3 3 3 3 2 4 3 3 4 3 1 1 1 2 1 1 1 1 1 1 1 1 1 2 3 3 4 3 2 4 4 3 1 2 2 2 2 2 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 2 2 2 1 2 1 1 5 2 7 2 1 1 1 1 1 1 1 1 5 1 4 1 2 1 1 2 1 2 2 1 2 2 1 1 7 4 2 3 3 4 2 4 1 3 4 4 1 2 1 2 2 3 1 1 1 1 1 1 1 1 1 3 2 2 3 3 4 4 1 2 2 2 2 2 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 4 1 2 1 2 2 2 2 2 1 2 1 3 1 3 2 2 2 1 2 1 2 2 2 2 2 2 5 10 4 4 4 4 4 4 4 3 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 4 4 4 3 4 4 4 2 2 2 2 2 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 2 2 2 2 1 1 2 5 3 5 2 2 1 1 5 1 1 2 3 1 1 3 2 1 1 1 2 2 2 1 1 2 2 1 1 8 4 3 3 2 4 3 4 3 3 3 3 3 3 3 3 1 2 3 1 1 1 1 1 3 3 1 3 4 2 3 2 4 3 1 2 1 2 2 2 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 4 1 1 1 2 1 1 2 1 1 1 1 1 1 1 0 0 0 0 0 1 2 1 2 2 2 2 1 8 3 3 4 3 4 3 4 4 4 4 4 3 3 1 2 2 1 1 2 1 1 2 1 1 2 1 2 4 1 4 1 3 3 1 2 1 2 2 2 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 3 2 1 1 1 2 2 5 3 5 3 2 2 2 5 2 1 2 1 5 5 5 1 1 1 2 2 1 2 1 1 2 2 1 1 6 1 1 1 1 1 1 4 3 1 1 1 3 1 3 1 2 2 1 1 2 1 1 1 1 4 1 2 4 1 3 1 4 4 1 1 2 2 2 2 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 2 2 1 2 1 3 3 5 4 3 2 2 2 1 1 1 1 2 1 4 1 5 0 0 0 0 0 1 2 2 1 1 2 1 1 6 4 2 3 1 4 2 4 1 2 4 3 3 3 3 1 1 1 1 1 1 2 1 1 1 4 2 2 4 4 3 4 4 2 2 1 2 2 2 2 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 2 1 1 1 2 1 5 7 4 4 4 4 4 3 4 4 4 4 4 2 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 3 3 4 3 4 4 2 2 2 2 2 2 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 3 2 2 1 2 2 1 5 2 5 3 1 1 1 1 1 1 1 1 1 1 5 0 0 0 0 0 3 3 3 2 1 2 1 5 4 3 3 3 3 4 3 4 3 4 4 3 3 1 3 3 1 2 1 1 1 1 2 1 1 3 1 1 4 3 4 1 4 3 1 2 2 2 2 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 2 2 2 1 2 2 2 4 5 4 4 2 3 4 1 2 1 1 3 5 4 5 0 0 0 0 0 1 1 1 1 2 2 1 1 9 4 3 3 3 3 3 4 3 3 4 3 2 2 1 1 3 1 2 2 1 1 2 1 1 2 1 1 4 3 4 3 2 4 1 1 1 2 1 2 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 2 2 2 1 2 1 1 4 1 5 2 1 4 1 1 2 1 2 1 3 1 1 2 2 1 2 2 1 2 2 2 2 2 2 1 6 4 2 3 2 4 2 4 3 4 4 3 2 1 1 3 1 1 2 1 1 1 1 1 1 3 1 3 3 4 1 3 4 3 1 2 1 2 2 2 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 2 4 1 3 2 1 2 2 4 1 1 2 1 2 2 1 2 2 1 2 2 1 2 3 1 2 2 1 1 4 4 3 3 3 4 3 4 3 4 4 4 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 4 3 2 1 3 4 3 2 2 2 2 2 2 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 4 1 1 1 1 2 1 1 1 1 1 1 1 1 1 0 0 0 0 0 3 2 3 2 2 2 2 1 10 4 4 4 3 4 3 4 3 3 3 3 1 1 1 2 1 1 2 2 1 1 1 1 1 3 1 3 4 1 4 3 3 4 1 1 1 2 2 2 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 5 2 2 1 2 1 1 5 4 8 3 1 1 1 5 1 1 1 1 5 5 5 0 0 0 0 0 2 2 2 2 2 2 1 5 9 4 2 2 2 3 3 4 3 3 4 3 3 3 1 3 3 3 3 2 2 1 3 1 2 3 3 3 4 3 4 3 4 4 1 1 1 2 2 2 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 4 2 2 1 1 3 2 5 4 4 3 1 4 4 5 1 1 1 4 1 4 5 0 0 0 0 0 2 2 2 2 2 2 2 1 5 3 3 4 3 3 2 4 4 3 3 2 3 2 2 3 2 1 1 1 1 1 1 1 1 2 1 1 4 3 3 1 1 1 1 2 1 2 2 2 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 4 4 4 4 3 2 3 3 4 4 4
2 2 1 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 2 1 1 1 5 5 4 3 3 3 4 3 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 4 4 4 4 4 4 4 2 2 2 2 2 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 5 2 3 2 1 1 1 1 1 1 1 1 3 1 5 0 0 0 0 0 3 3 3 1 2 2 1 6 8 4 3 4 2 4 2 4 2 3 4 4 1 1 1 1 1 1 1 1 1 1 1 1 3 3 1 3 4 4 4 4 4 4 2 2 2 2 2 2 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 2 4 1 2 1 3 3 1 1 3 1 1 1 1 1 1 0 0 0 0 0 3 3 3 2 2 2 2 5 10 4 3 4 3 4 3 4 3 4 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 4 2 2 4 4 1 2 2 2 2 2 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 4 2 3 2 1 2 3 1 1 1 1 1 3 3 4 0 0 0 0 0 1 2 2 1 1 2 1 1 4 4 3 4 4 4 1 4 1 4 4 4 2 2 1 1 1 1 1 1 1 1 1 1 1 3 1 1 4 1 3 4 4 2 1 2 2 2 2 2 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 4 2 2 1 2 2 2 5 3 7 4 1 1 1 5 1 1 1 1 5 1 5 2 1 1 1 2 2 2 2 2 2 2 2 1 3 3 2 2 3 4 1 4 2 3 3 2 3 2 3 3 3 1 1 1 1 1 1 1 1 3 1 1 1 2 2 1 3 2 1 2 1 2 1 2 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 1 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 2 2 2 2 3 6 4 4 4 3 3 3 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 3 3 1 2 4 4 2 4 4 4 2 2 2 2 2 2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 1 6 2 2 3 2 2 2 4 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 2 2 2 2 3 3 2 2 2 2 2 2 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 2 2 2 2 1 3 3 5 4 6 2 1 1 1 5 1 3 3 4 5 5 5 1 2 1 2 2 2 2 2 1 2 2 2 1 8 4 3 4 2 3 2 4 2 3 4 4 3 3 1 1 3 3 3 3 3 1 2 1 1 3 1 1 4 2 1 2 2 4 1 1 1 2 2 2 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 3 2 2 1 2 3 3 4 1 3 2 2 4 3 2 1 2 1 1 3 1 1 1 2 1 2 2 2 2 1 2 2 2 2 5 3 3 2 4 3 4 4 4 4 4 4 4 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 4 3 1 1 3 2 4 1 2 1 2 1 2 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 2 2 4 1 3 1 2 2 2 1 2 1 1 2 1 1 1 2 2 1 2 2 3 2 3 2 2 2 2 3 5 4 1 4 3 4 3 4 1 3 4 4 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 2 2 2 2 2 2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 4 2 2 1 1 1 1 3 1 1 1 1 3 1 1 1 2 1 2 1 2 2 3 1 2 1 2 3 10 4 4 4 4 4 2 4 2 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 2 3 3 3 4 4 3 2 2 2 2 2 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 0 1 1 4 1 4 1 2 2 2 1 1 1 1 1 1 1 1 2 2 1 2 2 2 2 2 2 2 2 2 3 10 4 4 4 2 4 2 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 4 4 1 4 4 4 4 4 4 4 2 2 2 2 2 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 1 3 1 2 3 3 3 4 3 4 4
